Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Pricing 1~String~Pricing 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arduino Uno.PrjPCB|ReportField=ProjectFullPath~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Arduino Uno.PrjPCB|ReportField=Title~Bill of Materials For Project [Arduino Uno.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~00:51:02|ReportField=ReportDate~11/04/2020|ReportField=ReportDateTime~11/04/2020 00:51:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~60|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~Campus do Pici|ReportField=Address2~Fortaleza|ReportField=Address3~Ceará|ReportField=Address4~Brasil|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Guilherme Alves de Araújo|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/04/2020|ReportField=CurrentTime~00:46:40|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~00.1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/04/2020|ReportField=Organization~|ReportField=Parameter 1~|ReportField=Parameter 2~|ReportField=Parameter 3~|ReportField=Parameter 4~|ReportField=ProjectName~Arduino Uno.PrjPCB|ReportField=Revision~00|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Meu projeto Arduino|ReportField=DataSourceFileName~Arduino Uno.PrjPCB|ReportField=DataSourceFullPath~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Arduino Uno.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|0603|0.1uF 25V|Capacitor|C1, C2, C7, C10, C12, C13, C14, C15, C16, C17, C18|C1608[0603]|C||GCM188R71E104KA57D||11|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGCM188R71E104KA57D%26seller%3DDigi-Key%26sku%3DGCM188R71E104KA57D-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}GCM188R71E104KA57D-ND{URL.TIP}Supplier
2|Radial|47uF 25V|Polarized Capacitor|C3|Cap_Al_SMD_C6_6.6x6.6mm|CP||EEE-1EA470WP|1=0.41, 10=0.284, 100=0.1704, 500=0.12782 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEEE-1EA470WP%26seller%3DDigi-Key%26sku%3DPCE3908DKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}PCE3908DKR-ND{URL.TIP}Supplier
3|0603|0.1uF 50V|Capacitor|C4, C9|C1608[0603]|C||06035C104KAT2A|1=0.1, 10=0.07, 100=0.031, 500=0.02214, 1000=0.01739 (USD)|2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D06035C104KAT2A%26seller%3DDigi-Key%26sku%3D478-5052-6-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}478-5052-6-ND{URL.TIP}Supplier
4|0603|20pF|Capacitor|C5, C6|C1608[0603]|C||CL10C200JB8NNNC|1=0.1, 10=0.048, 100=0.0214, 500=0.01532, 1000=0.01203 (USD)|2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamsung%26mpn%3DCL10C200JB8NNNC%26seller%3DDigi-Key%26sku%3D1276-1187-6-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1276-1187-6-ND{URL.TIP}Supplier
5|0805|10uF 10V|Capacitor|C8|C2012[0805]|C||C0805C106K8PACTU|1=0.16, 10=0.117, 100=0.055, 500=0.03858, 1000=0.03194 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C106K8PACTU%26seller%3DDigi-Key%26sku%3D399-4925-6-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}399-4925-6-ND{URL.TIP}Supplier
6|0805|1uF 25V|Capacitor|C11|C2012[0805]|C|TDK|C2012X7R1E105K125AB|1=0.16, 10=0.115, 100=0.054, 500=0.0379, 1000=0.03137 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X7R1E105K%26seller%3DDigi-Key%26sku%3D445-1354-1-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-1354-1-ND{URL.TIP}Supplier
7|SMA|B160-13-F|Diode|D1|DO214AC|D||B160-13-F|1=0.33, 10=0.271, 25=0.2272, 100=0.1111, 250=0.10932, 500=0.09266, 1000=0.06439, 2500=0.05984 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DB160-13-F%26seller%3DDigi-Key%26sku%3DB160-FDICT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}B160-FDICT-ND{URL.TIP}Supplier
8|0603|LED|LED|D2|LED-0603-G|LED||SML-D12M8WT86|1=0.31, 10=0.228, 100=0.108, 500=0.072, 1000=0.0564 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C191KRKT%26seller%3DDigi-Key%26sku%3D160-1447-6-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1447-6-ND{URL.TIP}Supplier
9||LL4148|Diode|D3|SOD-80/MLL34|D||LL4148|1=0.1, 10=0.088, 25=0.0836, 100=0.0369, 250=0.03536, 500=0.02894, 1000=0.0201 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DLL4148%26seller%3DDigi-Key%26sku%3DLL4148FSDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}LL4148FSDKR-ND{URL.TIP}Supplier
10|0603|LED|LED|D4|LED-0603-R|LED||LTST-C191KRKT|1=0.29, 10=0.211, 25=0.1556, 100=0.1111, 250=0.07556, 500=0.06666, 1000=0.05222, 2500=0.05111 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C191KRKT%26seller%3DDigi-Key%26sku%3D160-1447-6-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1447-6-ND{URL.TIP}Supplier
